| ticks:5267 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5287 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5306 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5325 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5345 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5364 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5391 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5405 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5419 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5433 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:5448 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5462 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5476 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5490 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5504 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5525 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5539 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5553 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5570 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5588 | x-axis=-18 | y-axis=21 | z-axis=-272 |
| ticks:5603 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5618 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5632 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5646 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5661 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5683 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5697 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5711 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5726 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5740 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5755 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5769 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5784 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5798 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5819 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5833 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5848 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5862 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5877 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5891 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:5906 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5920 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5935 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5949 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5971 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:5985 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6000 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6014 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6029 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6043 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6058 | x-axis=-18 | y-axis=20 | z-axis=-271 |
| ticks:6073 | x-axis=-18 | y-axis=20 | z-axis=-271 |
| ticks:6087 | x-axis=-18 | y-axis=20 | z-axis=-271 |
| ticks:6108 | x-axis=-18 | y-axis=20 | z-axis=-271 |
| ticks:6122 | x-axis=-18 | y-axis=20 | z-axis=-271 |
| ticks:6136 | x-axis=-18 | y-axis=20 | z-axis=-271 |
| ticks:6151 | x-axis=-18 | y-axis=20 | z-axis=-271 |
| ticks:6165 | x-axis=-18 | y-axis=20 | z-axis=-271 |
| ticks:6179 | x-axis=-18 | y-axis=20 | z-axis=-271 |
