| ticks:4685 | x-axis=97 | y-axis=-232 | z-axis=-190 |
| ticks:4695 | x-axis=97 | y-axis=-232 | z-axis=-190 |
| ticks:4706 | x-axis=97 | y-axis=-232 | z-axis=-190 |
| ticks:4717 | x-axis=97 | y-axis=-232 | z-axis=-190 |
| ticks:4729 | x-axis=97 | y-axis=-232 | z-axis=-190 |
| ticks:4739 | x-axis=97 | y-axis=-232 | z-axis=-190 |
| ticks:4755 | x-axis=97 | y-axis=-232 | z-axis=-190 |
| ticks:4766 | x-axis=97 | y-axis=-232 | z-axis=-190 |
| ticks:4778 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4801 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4812 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4823 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4835 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4846 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4857 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4874 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4885 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4896 | x-axis=131 | y-axis=-101 | z-axis=233 |
| ticks:4908 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:4918 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:4929 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:4940 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:4951 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:4962 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:4978 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:4989 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:5000 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:5023 | x-axis=-279 | y-axis=-236 | z-axis=-256 |
| ticks:5036 | x-axis=-118 | y-axis=240 | z-axis=250 |
| ticks:5047 | x-axis=-118 | y-axis=240 | z-axis=250 |
