| ticks:5449 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5460 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5471 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5482 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5493 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5504 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5521 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5532 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5543 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5554 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5570 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5582 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5592 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5603 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5614 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5625 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5641 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5655 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5669 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5680 | x-axis=-40 | y-axis=0 | z-axis=-272 |
| ticks:5697 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5709 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5720 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5731 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5742 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5759 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5770 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5781 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5792 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5803 | x-axis=-41 | y-axis=-1 | z-axis=-274 |
| ticks:5828 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5839 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5850 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5861 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5872 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5888 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5899 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5910 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5921 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5932 | x-axis=-43 | y-axis=-1 | z-axis=-277 |
| ticks:5957 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:5969 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:5980 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:5991 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:6008 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:6019 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:6030 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:6041 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:6052 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:6063 | x-axis=-43 | y-axis=0 | z-axis=-271 |
| ticks:6088 | x-axis=-42 | y-axis=0 | z-axis=-270 |
| ticks:6099 | x-axis=-42 | y-axis=0 | z-axis=-270 |
| ticks:6110 | x-axis=-42 | y-axis=0 | z-axis=-270 |
| ticks:6121 | x-axis=-42 | y-axis=0 | z-axis=-270 |
| ticks:6137 | x-axis=-42 | y-axis=0 | z-axis=-270 |
| ticks:6148 | x-axis=-42 | y-axis=0 | z-axis=-270 |
| ticks:6159 | x-axis=-42 | y-axis=0 | z-axis=-270 |
| ticks:6170 | x-axis=-42 | y-axis=0 | z-axis=-270 |
| ticks:6181 | x-axis=-42 | y-axis=0 | z-axis=-270 |
| ticks:6192 | x-axis=-42 | y-axis=0 | z-axis=-270 |
